Municipality,Year,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6,Indicator 7,Indicator 8,Indicator 9,Indicator 10
Gagra,2018,16.70450962,68.6714029,1.510623348,67.75154766,18.8904707,49.72038597,87.93182136,18.46072534,6.388399297,21.91188346
Gali,2018,49.03514997,33.50168366,54.95380181,73.9977486,39.93024987,66.35787422,42.67728131,94.80614876,25.51189435,68.64807084
Gudauta,2018,69.19060237,48.79239582,24.8124785,97.54766115,26.83111215,72.4656354,24.07812943,10.51129053,58.95777612,76.64947977
Gulripshi,2018,87.4557192,17.69724758,69.90342417,77.6512742,82.33911896,75.81767297,75.11818911,90.24255273,19.00428836,48.18106901
Ochamchire,2018,88.66629432,37.53786324,33.61509145,37.11705107,73.12427832,36.63974408,50.06776097,3.418403149,78.90018979,22.23211207
Sokhumi,2018,91.02077768,50.10875397,40.50022963,67.1331037,96.78315039,40.12620445,69.67203447,93.88079045,8.578763897,58.49692717
Batumi,2018,45.33288788,36.49950008,20.97668757,11.48452568,57.37130189,48.80336967,87.36317114,69.20483241,8.089204328,8.982996593
Keda,2018,25.67520207,5.849613216,52.36279748,66.4553456,59.45492779,78.08094485,53.33803364,78.48543999,94.32177118,32.68922584
Khulo,2018,34.27141584,18.65552551,59.81189089,91.31251244,8.486164663,97.82984305,12.31585972,14.5102002,9.65268572,80.68608274
Kobuleti,2018,36.2635735,40.43283322,88.50086935,49.77057298,57.57517322,72.59950566,10.71599659,93.59249376,22.13837114,54.19465096
Shuakhevi,2018,3.133894109,39.69099386,24.5797981,31.70250939,88.63881642,39.66390452,51.32582499,92.49842474,58.70613272,23.08544869
Chokhatauri,2018,99.69504322,16.61794632,1.513826444,71.63368923,57.09910576,0.498636247,48.53042017,36.74118487,79.48251848,80.40390819
Lanchkhuti,2018,88.02216609,37.10708943,55.14295235,57.04310494,88.55912758,15.24878147,39.75388459,87.47146178,97.60235328,65.29393109
Ozurgeti,2018,0.633911604,18.12597422,22.12676642,34.02120316,95.08756939,26.90995286,6.294442219,54.68563441,33.98602628,91.21017632
Bagdati,2018,82.64320081,13.58430656,48.01962031,85.64003931,75.35256682,69.98462336,30.5845859,27.93886921,51.6445043,96.67035776
Chiatura,2018,95.67459334,98.7117232,60.37114381,86.33036831,46.02549112,73.2544452,41.36931252,79.95035824,17.80077943,71.70255433
Kharagauli,2018,89.36457468,6.759839729,90.86576045,52.27601161,34.69925477,99.75402499,61.82326641,9.184690197,91.8548187,35.5405085
Khoni,2018,75.05530268,23.51654312,19.88025793,3.181015049,26.11885422,90.96988931,2.996290175,91.85771005,43.96420586,43.16140255
Kutaisi,2018,62.29533745,4.316455277,57.14380869,1.911424944,78.96039737,95.93475895,12.01118121,66.44832518,22.95884982,81.17430437
Sachkhere,2018,53.61772116,16.70054899,35.17196715,26.72864233,40.77123455,75.74766265,54.29225363,46.04460215,61.80017279,67.71811236
Samtredia,2018,54.67149085,72.51329191,8.498872827,57.25316826,25.48301848,66.62540432,25.89959174,0.400974208,84.50487427,52.67310865
Terjola,2018,63.41794565,99.95055714,97.67354474,13.78130767,11.8077859,55.7234543,93.3602914,31.84124813,57.47437252,6.41873516
Tkibuli,2018,42.72331705,59.58879666,16.06855084,60.48161612,48.25242498,50.34615342,72.01582063,82.55435205,7.809308778,66.7353818
Tskaltubo,2018,6.955555712,88.65023526,16.15758222,4.168890361,74.16911266,75.68451723,48.58016011,30.84327708,39.96855589,49.63346639
Vani,2018,49.67401017,86.56253521,89.60685133,81.33194114,55.44422809,29.88484398,5.790033674,40.61590335,0.720001463,87.93139567
Zestaponi,2018,66.64935383,78.19882955,54.50212001,15.03199707,35.1661123,12.73000666,62.09339599,15.95048704,74.41105507,73.717143
Akhmeta,2018,88.31542531,1.105530387,49.47448725,91.88227534,42.86875849,66.51261277,14.97676183,96.55125677,81.74231756,38.50822834
Dedoplis Tskaro,2018,84.85269304,41.41475743,10.07243975,8.680262136,33.40753237,43.45836946,20.06074109,90.44503985,95.48331491,6.163612064
Gurjaani,2018,4.832537974,72.74420317,42.11595034,99.80432269,41.00252483,69.64957083,25.43500023,79.98799415,94.32845725,99.87449049
Kvareli,2018,69.83704644,31.10613992,93.16255882,38.16596815,27.35376119,82.70756925,63.46763611,39.39898717,49.12796676,86.79891722
Lagodekhi,2018,40.21776892,6.130716666,16.13602704,10.43684163,94.96998187,28.08976528,74.41649898,21.1994788,28.20325668,75.47039285
Sagarejo,2018,92.862384,45.89286609,87.21981446,99.96716022,15.80392926,12.32623792,62.9631626,40.13411783,46.4006352,20.50193351
Signagi,2018,15.12747116,12.16328431,80.13242781,35.88597212,60.29045262,2.630241393,32.16209331,6.122243945,61.99747527,58.52004698
Telavi,2018,82.81080783,95.33766844,8.466783064,4.865626978,66.5739318,67.22705932,65.88290595,11.2074914,7.561433873,20.63466416
Bolnisi,2018,94.81698981,54.80515192,70.74801199,2.422659931,4.920767719,48.64014648,96.9192532,60.18103742,84.49203596,86.11008514
Dmanisi,2018,61.21174979,68.57583497,30.25179806,27.36512294,85.72330821,36.43705408,32.12367724,42.34377728,14.2996233,3.95421946
Gardabani,2018,4.084184949,36.61311551,83.22596153,19.35999343,33.38867281,65.31071564,61.56885201,93.98068939,13.70790233,72.7940508
Marneuli,2018,87.27231351,73.46441887,92.63017561,14.03374153,59.23624575,24.97998424,30.16879435,54.73730089,8.195539758,69.29818993
Tetri Tskaro,2018,31.69267555,57.8321677,1.27773358,35.23143808,66.51312332,12.54789103,25.02592538,51.37621123,20.74740361,9.193595979
Tsalka,2018,6.086198508,54.50584827,0.61545611,18.92899699,5.402900347,24.38166518,57.30693444,24.23323129,60.19181053,12.4686819
Akhalgori,2018,44.4291435,93.83668552,51.16788736,70.40577642,97.62736867,19.30600828,80.83736806,89.99888123,56.78629005,26.45738632
Dusheti,2018,84.25346822,97.36618299,43.97480744,82.46121307,63.08617501,55.22351628,4.230399646,78.82916205,35.49422896,34.13826264
Kazbegi,2018,6.237244393,96.91204537,31.86333194,22.83535949,8.743028175,90.03507062,59.97932436,25.25737322,43.98121264,98.25679046
Mtskheta,2018,86.46175842,64.64585425,57.44576841,16.34237931,60.33128472,27.4501418,10.175868,6.375197339,83.09740226,5.431419165
Tianeti,2018,48.6175215,22.64827038,0.268225273,96.15537349,80.33249005,24.594036,90.91015284,99.1612571,60.01433645,98.98566109
Ambrolauri,2018,61.04361892,83.8354057,96.5774631,17.91006049,34.6059652,71.30680052,10.82135716,29.35727086,94.15767039,14.82072998
Lentekhi,2018,43.38720621,68.14914081,21.37125785,76.08316046,23.89279205,16.56352477,46.33044954,7.275988104,54.97442077,68.68479308
Oni,2018,94.57543929,48.04814239,91.27349767,91.86784243,18.22023923,74.01711416,40.79335209,50.70759276,71.76264828,28.2626401
Tsageri,2018,48.41852243,59.12793627,80.92336256,4.238525036,97.96812587,6.487414619,81.12325171,41.84375428,71.05646882,17.93487904
Abasha,2018,16.43226298,4.014436724,24.0847161,78.13607197,4.92585982,95.33831829,71.8090927,60.43839806,84.40121187,23.5883592
Chkhorotsku,2018,94.59459358,31.19501611,0.00705615,8.840902789,5.761924664,30.75740974,34.78738131,11.31645701,68.85801317,35.98259854
Khobi,2018,49.23641737,87.96186103,66.96067608,68.37859783,33.73661732,8.138606257,93.96579325,55.41568513,33.58273632,66.8266529
Martvili,2018,25.59078103,19.83800074,56.42489384,90.7779497,91.74841378,30.13149821,79.75738993,44.58809283,79.92341559,51.54133705
Mestia,2018,65.99857347,38.59046715,54.19073624,78.61699842,15.59147023,95.53691131,60.91296653,95.3768112,20.45858323,30.36027776
Senaki,2018,71.62876223,64.8508033,60.81229167,43.82103595,59.23279812,87.56760384,41.78412871,21.27412762,76.3862071,43.46663516
Tsalenjikha,2018,55.8485578,63.72613534,89.08677999,2.219158494,72.19500784,93.84055466,83.93754254,52.31311837,17.07331978,5.999728335
Zugdidi,2018,83.76534611,75.22446861,11.18989701,79.24208607,56.79439818,14.38802924,19.44285557,61.72802616,58.05477091,79.40534687
Adigeni,2018,47.76775363,3.67891013,87.00650591,59.92928759,38.3568263,69.62552712,57.64737067,58.25509952,5.717230542,68.98127285
Akhalkalaki,2018,96.64235865,52.36019207,16.64117498,60.31333325,2.377787698,60.49123109,64.3337355,53.66691397,45.10406114,84.09492327
Akhaltsikhe,2018,10.82550816,64.37586361,30.39327398,58.48724479,15.88531898,75.11349196,88.93781564,67.06151611,11.26449909,82.80449958
Aspindza,2018,12.80377836,32.15692454,62.93422807,24.07934713,20.37121496,7.138547884,5.83249804,20.00084135,18.23370856,34.12803692
Borjomi,2018,17.23963438,32.12076884,82.8365438,36.51183862,23.66870589,25.82641247,29.34970618,46.75389028,98.77739843,2.461086434
Ninotsminda,2018,16.04707994,30.80542159,1.951144432,21.32780627,38.22991566,65.17282891,82.10838301,52.60776623,55.08104995,4.594892488
Gori,2018,66.71432552,41.73580592,20.96518104,12.48386106,87.08699377,15.6160549,37.41212392,86.35665952,89.43362483,28.60731439
